"kategori1";"word";"Frekvens";"Sqrt_tf_idf"
"1200 - Idrett";"0";3;0.0103841301960372
"1300 - Rekreasjon og sosiale foreninger";"0";3;0.0123531174594813
"13100 - Barne- og ungdomsorganisasjoner";"0";1;0.0133278643691562
"1300 - Rekreasjon og sosiale foreninger";"0.0";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"00";1;0.00771877178718831
"4200 - Krisehjelp og støttearbeid";"00";1;0.0375822326237563
"7100 - Interesseorganisasjoner";"000";1;0.0103968655498567
"9100 - Internasjonale aktiviteter";"001";1;0.0249017963956876
"1300 - Rekreasjon og sosiale foreninger";"004";1;0.0086298492094803
"1200 - Idrett";"01.01.2001";1;0.00725432086737195
"1100 - Kultur og kunst";"01.01.97";1;0.00821809835166093
"1200 - Idrett";"01.09";1;0.00725432086737195
"1200 - Idrett";"01.10";1;0.00725432086737195
"9100 - Internasjonale aktiviteter";"017";1;0.0249017963956876
"1100 - Kultur og kunst";"021";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"022";1;0.0086298492094803
"1100 - Kultur og kunst";"04";2;0.0103951635306096
"1200 - Idrett";"04";1;0.00648846183601557
"1200 - Idrett";"0404";1;0.00725432086737195
"1300 - Rekreasjon og sosiale foreninger";"056";1;0.0086298492094803
"1200 - Idrett";"0716";1;0.00725432086737195
"1200 - Idrett";"08";1;0.00599528036398219
"1300 - Rekreasjon og sosiale foreninger";"08";2;0.0100862781694651
"3400 - Andre helsetjenester";"08";1;0.0207419783171607
"7100 - Interesseorganisasjoner";"084";1;0.0103968655498567
"1100 - Kultur og kunst";"09";2;0.0103951635306096
"1200 - Idrett";"09";2;0.00917607072743345
"10100 - Tros- og livssynsorganisasjoner";"1";2;0.0107032852020387
"1100 - Kultur og kunst";"1";27;0.0190971348320864
"1200 - Idrett";"1";31;0.0180631132900751
"1300 - Rekreasjon og sosiale foreninger";"1";63;0.0306329258636428
"13100 - Barne- og ungdomsorganisasjoner";"1";44;0.0478397789532465
"14100 - Mangfold og inkludering";"1";1;0.017214627103188
"2100 - Grunn og videregående utdanning";"1";2;0.0582904820434904
"3400 - Andre helsetjenester";"1";1;0.0112241235224708
"4100 - Sosiale tjenester";"1";2;0.0115682805334842
"4200 - Krisehjelp og støttearbeid";"1";1;0.0187911163118782
"4300 - Økonomisk og materiell støtte";"1";2;0.0352448471172073
